date,open,high,low,close,volume
2021-02-04,355.594306,358.639922,354.675059,358.593506,47142600
2021-02-05,360.459949,360.710645,358.547155,360.004944,48669800
2021-02-08,361.453386,362.651213,360.599144,362.604797,38365200
2021-02-09,361.769093,362.957653,361.360560,362.363373,35551100
2021-02-10,364.099738,364.248308,359.809880,362.205505,59154400
2021-02-11,363.282776,363.700631,360.367168,362.790649,42913300
2021-02-12,361.992033,364.824074,361.917733,364.582672,50593300
2021-02-16,365.808320,366.003334,363.551970,364.266937,50972400
2021-02-17,362.521296,364.601221,361.509161,364.350525,52290600
2021-02-18,361.750609,363.542688,360.032801,362.799866,59712800
2021-02-19,364.053413,364.341259,361.713469,362.159180,83241000
2021-02-22,359.401421,361.778486,359.104281,359.373566,67414200
2021-02-23,357.172942,361.156395,353.031653,359.809998,107284100
2021-02-24,358.723511,364.201930,357.739259,363.774780,72433900
2021-02-25,362.512034,363.876991,353.570171,355.009399,146670500
2021-02-26,356.884985,358.027073,351.202314,353.180084,152701600
2021-03-01,358.036369,362.985512,353.375101,361.741241,105348800
2021-03-02,361.964103,362.196238,358.417067,358.918488,79595300
2021-03-03,358.222183,359.187846,354.062305,354.164459,119940200
2021-03-04,353.978768,356.560114,345.306190,349.781769,183433000
2021-03-05,353.273002,357.265748,346.011826,356.216492,152039600
2021-03-08,357.172908,359.977095,354.164442,354.442993,123149200
2021-03-09,358.277919,362.047797,357.776498,359.503601,113633600
2021-03-10,361.843396,363.431194,360.432023,361.741241,109899400
2021-03-11,364.201995,367.377592,363.746990,365.409088,86245000
2021-03-12,364.053334,366.040399,363.245508,365.901123,64653600
2021-03-15,366.151869,368.343243,364.016234,368.083252,73427200
2021-03-16,368.696131,369.401803,366.848313,367.619019,73722500
2021-03-17,366.337629,369.671091,365.195512,368.872559,97959300
2021-03-18,366.291180,368.371104,362.827708,363.505554,115349100
2021-03-19,363.205605,364.779982,360.662373,362.832977,113624500
2021-03-22,363.345344,367.108947,363.289451,365.730194,73778600
2021-03-23,365.096681,366.540623,362.069036,362.851562,90686600
2021-03-24,364.248969,365.879239,360.960482,361.007050,97588600
2021-03-25,359.572383,363.829695,357.634674,363.037872,116128600
2021-03-26,364.183733,369.288818,363.587535,368.888245,114409100
2021-03-29,367.416346,369.605572,365.935132,368.701935,108107600
2021-03-30,367.434997,368.394526,366.130758,367.723785,76262200
2021-03-31,368.292006,370.770020,368.264060,369.214264,112734200
2021-04-01,371.142717,373.257429,370.937767,373.201508,99682900
2021-04-05,375.856490,379.098409,375.781976,378.558075,91684800
2021-04-06,377.999086,379.377810,377.663701,378.334442,62021000
2021-04-07,378.166846,379.117051,377.710379,378.772369,55836300
2021-04-08,380.020712,380.626236,379.089129,380.570343,57863100
2021-04-09,380.449152,383.504743,380.328042,383.337036,61104600
2021-04-12,382.740848,383.746945,382.135325,383.476807,56704900
2021-04-13,383.374410,385.237577,382.992458,384.613403,56551000
2021-04-14,384.585365,385.638058,382.759471,383.299805,61659900
2021-04-15,385.433173,387.687617,385.386606,387.417450,60229800
2021-04-16,388.702925,389.317773,387.286929,388.712250,82037300
2021-04-19,387.780700,388.227841,385.479689,386.802521,78498500
2021-04-20,385.591526,386.690788,382.498664,383.970581,81851800
2021-04-21,383.355713,387.808679,383.215953,387.603729,66793000
2021-04-22,387.436014,388.265108,383.001670,384.063660,97582800
2021-04-23,384.622653,389.634574,384.548139,388.227875,73209200
2021-04-26,388.879977,389.606610,388.293075,389.038330,52182400
2021-04-27,389.336481,389.532134,387.817996,388.954529,51303100
2021-04-28,389.224787,390.342698,388.377043,388.842834,51238900
2021-04-29,391.562960,391.935588,387.948414,391.320740,78544300
2021-04-30,389.056981,389.904724,387.855231,388.749542,85527000
2021-05-03,390.733872,391.115825,389.094305,389.588043,68128300
2021-05-04,387.603794,388.097532,383.504834,387.184570,101591200
2021-05-05,388.824180,389.057075,386.746739,387.305695,60162200
2021-05-06,387.380120,390.528875,385.377222,390.398468,74321400
2021-05-07,391.162395,393.891927,390.482329,393.239807,67733800
2021-05-10,393.593842,393.817412,389.224715,389.345825,81852400
2021-05-11,384.836959,386.858478,382.004938,385.871002,116888000
2021-05-12,383.094823,384.361762,376.359469,377.673004,134811000
2021-05-13,379.219466,384.138222,379.172869,382.209839,106394000
2021-05-14,384.939397,388.926571,384.911450,388.078827,82201600
2021-05-17,386.970349,387.901932,385.079208,387.091431,65129200
2021-05-18,387.352214,387.594435,383.597936,383.756317,59810200
2021-05-19,379.079772,382.927186,377.598530,382.750183,106467100
2021-05-20,383.625909,388.125471,383.504827,386.867828,78022200
2021-05-21,388.349035,389.588056,386.094620,386.551086,76578700
2021-05-24,388.786856,391.562983,388.544635,390.491669,51376700
2021-05-25,391.572310,391.926317,389.047728,389.625305,57451400
2021-05-26,390.212140,390.901502,389.178097,390.398468,43088600
2021-05-27,391.423222,391.935581,390.323932,390.603424,56707700
2021-05-28,392.168428,392.429270,391.069167,391.302063,58520200
2021-06-01,393.658921,393.798652,390.519491,390.957336,54216600
2021-06-02,391.609598,392.410774,390.603501,391.572327,49097100
2021-06-03,389.261948,391.255520,387.799356,390.118988,58138800
2021-06-04,391.963517,393.985064,390.184190,393.686951,55938800
2021-06-07,393.677681,393.854684,392.373471,393.305054,51555000
2021-06-08,394.162056,394.255220,391.562960,393.388855,47134300
2021-06-09,394.227262,394.301804,392.578370,392.801941,48436300
2021-06-10,394.022376,395.578132,392.708840,394.627899,51020100
2021-06-11,395.177477,395.391723,393.891888,395.279938,45570800
2021-06-14,395.391779,396.267469,394.152786,396.165009,42358500
2021-06-15,396.314045,396.351288,394.562664,395.438354,51508500
2021-06-16,395.578045,395.801616,391.190298,393.230438,80386100
2021-06-17,392.820573,394.078187,390.631348,393.100037,90949700
2021-06-18,389.825160,390.516778,387.591408,387.797028,118676300
2021-06-21,389.554125,393.535662,388.741001,393.348724,72822000
2021-06-22,393.339353,396.283434,392.619669,395.451599,57700300
2021-06-23,395.526404,396.330173,394.890862,394.974976,49445400
2021-06-24,397.115228,397.732060,396.862860,397.311493,45110300
2021-06-25,398.059229,399.171442,397.732103,398.722809,58129500
2021-06-28,399.246203,399.694807,398.049877,399.526581,53159600
2021-06-29,399.909834,400.545376,399.208861,399.741608,35970500
2021-06-30,399.283622,400.750999,399.255584,400.078064,64827900
2021-07-01,400.835100,402.452021,400.769669,402.293121,53441000
2021-07-02,403.452060,405.723206,402.377212,405.368042,57697700
2021-07-06,405.424080,405.639056,401.900533,404.629639,68710400
2021-07-07,405.311969,406.340068,403.302518,406.059662,63549500
2021-07-08,400.751036,403.508208,399.573392,402.751160,97595200
2021-07-09,404.255787,407.349412,402.554752,407.050323,76238600
2021-07-12,406.966197,408.760700,406.536274,408.508331,52889600
2021-07-13,407.723319,409.218733,406.854119,407.115814,52911300
2021-07-14,408.807442,409.293468,406.480220,407.723267,64130400
2021-07-15,406.386764,407.059699,404.433389,406.330688,55126400
2021-07-16,407.508415,407.555136,402.751148,403.143677,75874700
2021-07-19,398.330222,403.208995,394.386080,397.189972,147987000
2021-07-20,397.853670,404.153101,397.059228,402.881989,99608200
2021-07-21,404.078273,406.284016,402.835226,406.143799,64724400
2021-07-22,406.321358,407.237306,405.340007,406.994293,47878500
2021-07-23,408.919639,411.517911,408.237376,411.181458,63766600
2021-07-26,410.592677,412.200243,410.545957,412.190887,43719200
2021-07-27,411.153387,411.181425,407.489622,410.312225,67397100
2021-07-28,410.938393,411.517860,408.723323,410.143951,52472400
2021-07-29,411.069240,412.919790,411.059884,411.844971,47435300
2021-07-30,409.284126,411.293576,409.153264,409.844910,68951200
2021-08-02,411.555312,412.106740,408.629913,408.985077,58783300
2021-08-03,409.779445,412.433793,407.592413,412.312286,58053900
2021-08-04,411.031873,412.284274,410.050522,410.284180,46732200
2021-08-05,411.443138,412.966590,411.125366,412.882477,38969700
2021-08-06,413.200237,413.985323,412.919830,413.564728,46930000
2021-08-09,413.536809,413.854580,412.461989,413.228394,41222600
2021-08-10,413.676940,414.452699,412.994677,413.742371,43339300
2021-08-11,414.807840,414.863916,413.686272,414.770447,44034300
2021-08-12,414.620959,416.153767,413.723721,416.013550,38909400
2021-08-13,416.462125,416.789251,415.976127,416.770569,39470300
2021-08-16,415.471421,417.882756,413.919931,417.751923,73740000
2021-08-17,415.200337,415.873272,412.031953,415.013428,92673900
2021-08-18,414.004034,415.564879,410.228146,410.471130,89351900
2021-08-19,407.751308,412.302983,407.611119,411.106628,92812200
2021-08-20,411.452498,414.704995,410.966472,414.377869,72008700
2021-08-23,416.060280,418.929603,414.452714,418.023010,54973000
2021-08-24,418.686523,419.219270,418.172488,418.686523,38744700
2021-08-25,418.873446,420.079099,418.499571,419.565063,40529700
